ctx,FP16,INT8-KV,KVQ8-stored,KVQ4-stored,KVQ4-codec
0,13.086,13.086,13.086,13.086,13.086
1024,12.879,12.981,12.975,13.026,13.032
2048,12.678,12.879,12.866,12.967,12.978
4096,12.295,12.678,12.653,12.850,12.872
8192,11.594,12.295,12.249,12.623,12.666
16384,10.408,11.594,11.512,12.191,12.272
21000,9.841,11.233,11.135,11.961,12.060
32768,8.640,10.408,10.276,11.411,11.553
49152,7.385,9.442,9.280,10.725,10.914
65536,6.449,8.640,8.460,10.117,10.342
78000,5.882,8.116,7.927,9.698,9.945
98304,5.144,7.385,7.190,9.086,9.360
131072,4.279,6.449,6.251,8.246,8.549
