ctx,j_kvq4_4pj,j_kvq4_6pj,j_kvq4_8pj,j_fp16_6pj,w_kvq4_6pj,toks_kvq4
0,0.1586,0.2169,0.2752,0.2169,2.838,13.086
1024,0.1594,0.2180,0.2766,0.2205,2.840,13.026
2048,0.1602,0.2191,0.2780,0.2240,2.841,12.967
4096,0.1619,0.2213,0.2807,0.2311,2.843,12.850
8192,0.1651,0.2256,0.2861,0.2452,2.848,12.623
16384,0.1717,0.2343,0.2969,0.2736,2.856,12.191
21000,0.1754,0.2392,0.3030,0.2895,2.861,11.961
32768,0.1848,0.2517,0.3186,0.3302,2.872,11.411
49152,0.1979,0.2691,0.3403,0.3869,2.886,10.725
65536,0.2110,0.2865,0.3619,0.4435,2.898,10.117
78000,0.2210,0.2997,0.3784,0.4866,2.907,9.698
98304,0.2372,0.3212,0.4053,0.5568,2.919,9.086
131072,0.2634,0.3560,0.4486,0.6701,2.936,8.246
