array_n,clock_ghz,ttft_s_util_0.306,ttft_s_util_0.650,ttft_s_util_0.900
8,0.5,750.123,353.136,255.043
8,1.0,375.062,176.568,127.522
16,0.5,187.532,88.285,63.761
16,1.0,93.766,44.143,31.881
32,0.2,117.208,55.178,39.851
32,0.5,46.884,22.072,15.941
32,0.8,29.303,13.795,9.964
32,1.0,23.442,11.036,7.971
32,1.2,19.535,9.197,6.643
64,0.2,29.303,13.795,9.964
64,0.5,11.722,5.519,3.986
64,0.8,7.326,3.450,2.492
64,1.0,5.861,2.760,1.994
64,1.2,4.885,2.300,1.661
128,0.2,7.326,3.450,2.492
128,0.5,2.931,1.380,0.997
128,0.8,1.832,0.863,0.624
128,1.0,1.466,0.691,0.611
128,1.2,1.222,0.611,0.611
