/Users/nabilabdelazizferhattaleb/.pyenv/versions/3.11.5/bin/python tests/test_contract.py
d64_T128_G64__CQ8          D= 64 T=128 G= 64 tier=0 : PASS
d64_T128_G64__CQ4          D= 64 T=128 G= 64 tier=1 : PASS
d64_T128_G64__CQ4plus      D= 64 T=128 G= 64 tier=2 : PASS
d64_T70_G64__CQ8           D= 64 T= 70 G= 64 tier=0 : PASS
d64_T70_G64__CQ4           D= 64 T= 70 G= 64 tier=1 : PASS
d64_T70_G64__CQ4plus       D= 64 T= 70 G= 64 tier=2 : PASS
d128_T100_G128__CQ8        D=128 T=100 G=128 tier=0 : PASS
d128_T100_G128__CQ4        D=128 T=100 G=128 tier=1 : PASS
d128_T100_G128__CQ4plus    D=128 T=100 G=128 tier=2 : PASS
================================================================
APEX GOLDEN vs FROZEN VECTORS: ALL 9 CONFIGS BIT-EXACT
/Users/nabilabdelazizferhattaleb/.pyenv/versions/3.11.5/bin/python tests/test_compute.py
[C-3 gemm_i8]
  PASS  matches int64 matmul at K=K_MAX
  PASS  worst-case |acc| fits INT32
  PASS  K>2048 rejected
[C-2 requant_i32_to_i8]
  PASS  RNE sat scale=1 shift=0
  PASS  RNE sat scale=3 shift=1
  PASS  RNE sat scale=77 shift=7
  PASS  RNE sat scale=65535 shift=31
  PASS  RNE sat scale=256 shift=8
  PASS  RNE sat scale=1 shift=31
  PASS  half-to-even on exact ties — got [0, 2, 0, -2, 2, -2]
[§6 exp LUT]
  PASS  exhaustive domain max|err|=4.63e-04 ≤ 2^-10
[§6 online softmax fx]
  PASS  200 random rows, worst L1 err=0.0002 ≤ 0.02
  PASS  uniform scores → equal probs
[§6 rmsnorm ref sanity]
  PASS  output RMS ≈ 1
================================================================
APEX COMPUTE GOLDEN: ALL PROPERTIES PASS
/Users/nabilabdelazizferhattaleb/.pyenv/versions/3.11.5/bin/python tests/test_attention.py
[A] self-consistency vs proven primitives
  PASS  rmsnorm_fx == verif/asu normative oracle (300 random rows)
  PASS  feeder quant == C-1 compress_values codes (bit-exact)
  PASS  feeder quant == C-1 compress_values scales (bit-exact)
  PASS  chain KVQ == direct compress_keys payload+scales+sidecar
  PASS  LEMMA-EXP |Δ| ≤ 0.00049·e^z + 2^-14 (all 16385 points)
  PASS  score-dequant |Δ| ≤ RNE + f32 bound (100k random)
  PASS  calib_requant never saturates sat8 (margin target=126)
[B] error-budget measurement + [C] derived gates
  case                                 e2e/|y|   e2e/|V|  mean/|y|  b_comp/y  b_stat/y   asu_L1 verdict
  gauss/D64/T16/CQ-8                  1.78e-02  3.67e-03  5.00e-03  2.35e-01  1.03e-01  3.4e-04 PASS
  gauss/D64/T16/CQ-4                  9.96e-02  2.05e-02  3.98e-02  1.82e+00  2.09e-01  3.4e-04 PASS
  gauss/D64/T16/CQ-4+                 9.90e-02  2.04e-02  3.88e-02  1.72e+00  2.08e-01  3.7e-04 PASS
  gauss/D64/T64/CQ-8                  5.52e-02  5.83e-03  2.04e-02  1.08e+00  5.62e-01  1.3e-03 PASS
  gauss/D64/T64/CQ-4                  1.64e-01  1.73e-02  4.26e-02  4.22e+00  6.08e-01  1.3e-03 PASS
  gauss/D64/T64/CQ-4+                 1.57e-01  1.65e-02  4.70e-02  4.97e+00  6.05e-01  1.1e-03 PASS
  gauss/D64/T128/CQ-8                 1.28e-01  9.60e-03  4.21e-02  2.66e+00  1.47e+00  2.2e-03 PASS
  gauss/D64/T128/CQ-4                 2.21e-01  1.65e-02  5.50e-02  9.39e+00  1.51e+00  2.3e-03 PASS
  gauss/D64/T128/CQ-4+                2.51e-01  1.88e-02  5.41e-02  8.51e+00  1.51e+00  2.0e-03 PASS
  gauss/D64/T130/CQ-8                 1.11e-01  7.56e-03  3.33e-02  3.06e+00  1.61e+00  2.3e-03 PASS
  gauss/D64/T130/CQ-4                 1.74e-01  1.19e-02  5.36e-02  9.86e+00  1.64e+00  2.1e-03 PASS
  gauss/D64/T130/CQ-4+                2.14e-01  1.46e-02  5.11e-02  9.00e+00  1.64e+00  2.0e-03 PASS
  gauss/D128/T16/CQ-8                 1.43e-02  4.28e-03  4.59e-03  2.33e-01  7.69e-02  3.4e-04 PASS
  gauss/D128/T16/CQ-4                 1.17e-01  3.52e-02  3.71e-02  1.45e+00  1.80e-01  6.1e-04 PASS
  gauss/D128/T16/CQ-4+                1.17e-01  3.52e-02  3.71e-02  1.49e+00  1.80e-01  4.6e-04 PASS
  gauss/D128/T64/CQ-8                 5.84e-02  5.75e-03  1.62e-02  1.12e+00  6.01e-01  1.4e-03 PASS
  gauss/D128/T64/CQ-4                 1.37e-01  1.35e-02  3.97e-02  4.36e+00  6.48e-01  1.3e-03 PASS
  gauss/D128/T64/CQ-4+                1.27e-01  1.25e-02  3.94e-02  4.30e+00  6.47e-01  1.5e-03 PASS
  gauss/D128/T128/CQ-8                1.66e-01  9.65e-03  4.73e-02  3.23e+00  1.86e+00  2.4e-03 PASS
  gauss/D128/T128/CQ-4                2.30e-01  1.33e-02  5.69e-02  1.16e+01  1.89e+00  2.3e-03 PASS
  gauss/D128/T128/CQ-4+               2.18e-01  1.26e-02  5.90e-02  1.16e+01  1.89e+00  2.2e-03 PASS
  gauss/D128/T130/CQ-8                1.50e-01  8.75e-03  4.08e-02  3.14e+00  1.86e+00  2.0e-03 PASS
  gauss/D128/T130/CQ-4                1.99e-01  1.17e-02  6.00e-02  1.02e+01  1.89e+00  2.1e-03 PASS
  gauss/D128/T130/CQ-4+               2.02e-01  1.18e-02  6.06e-02  9.23e+00  1.89e+00  2.2e-03 PASS
  heavy/D64/T16/CQ-8                  2.80e-02  1.54e-03  7.02e-03  6.82e-01  3.09e-01  3.7e-04 PASS
  heavy/D64/T16/CQ-4                  2.22e-01  1.22e-02  6.74e-02  3.81e+00  4.54e-01  4.3e-04 PASS
  heavy/D64/T16/CQ-4+                 2.22e-01  1.22e-02  7.08e-02  3.40e+00  4.51e-01  4.0e-04 PASS
  heavy/D64/T64/CQ-8                  8.40e-02  2.30e-03  2.58e-02  4.26e+00  1.88e+00  1.7e-03 PASS
  heavy/D64/T64/CQ-4                  2.11e-01  5.78e-03  6.81e-02  1.23e+01  1.96e+00  1.6e-03 PASS
  heavy/D64/T64/CQ-4+                 1.64e-01  4.47e-03  6.73e-02  1.16e+01  1.96e+00  1.8e-03 PASS
  heavy/D64/T128/CQ-8                 2.29e-01  2.50e-03  7.35e-02  1.42e+01  8.85e+00  2.0e-03 PASS
  heavy/D64/T128/CQ-4                 3.52e-01  3.85e-03  8.92e-02  1.06e+02  8.88e+00  2.1e-03 PASS
